sensor_index,name,latitude,longitude,pm2.5_atm
92225,Aptos Hills,36.94754,-121.83052,5.1
93521,Marc's weather station,36.596676,-121.909584,3.9
94417,Las Colinas,37.00919,-121.80666,2.4
94633,Rebecca,37.11494,-122.102905,0.0
96053,The Farmhouse,37.081974,-121.580795,2.9
96241,East Garrison,36.65262,-121.73911,3.6
96633,Chalone Vineyard,36.470284,-121.229744,1.8
96811,Coalinga - Mesa Way,36.155746,-120.34577,1.1
96829,BDUESD,37.062332,-122.14793,3.6
97265,Post Ranch Sierra Mar South,36.22973,-121.77173,3.1
98167,Skyline Goat Trail,37.179832,-122.02993,1.7
98209,Weather_Rock,36.779118,-121.72451,4.7
99657,Oxford Way,36.954292,-122.038315,0.0
100119,Saratoga Hills,37.238766,-122.04426,5.9
102172,Bronson,37.25463,-121.92873,4.0
102596,Olive Springs Near Quarry,37.058266,-121.92316,3.1
103870,Upper Zayante,37.161026,-122.013176,3.0
104100,Tranquility RAMP PA,36.63435,-120.38337,1.2
104680,Westside Lighthouse,36.954346,-122.032135,8.2
108636,Outside,37.232243,-122.14726,4.1
109182,Cloud's Rest,37.150047,-122.00445,1.9
109416,Carbonera,36.997307,-122.0149,6.0
109528,Hester Creek,37.088043,-121.94188,4.6
109694,Blossom Valley - Sakamoto,37.229485,-121.833176,4.0
109856,Moongoat,37.0232,-121.9364,5.1
110026,Maude Ave,37.249077,-121.99884,2.5
110028,Hecate house,37.254963,-121.949,5.5
110390,La Rinconada &amp; Clearview,37.25615,-121.97466,8.3
110542,Teerlink,37.262653,-122.0563,5.0
110666,Blackstone Drive (outside),37.127342,-122.12728,4.3
110684,Mercey Hot Springs,36.70463,-120.860405,3.7
110969,Foster Rd,37.212303,-121.97131,6.4
111309,Santa Teresa,37.22756,-121.83302,4.9
111401,East Gilroy foothills,37.01683,-121.497475,3329.8
111682,Discovery Charter School,37.235413,-121.84675,4.6
112018,SCVCC,37.272736,-121.77079,0.6
112042,Hollow Dale,37.117645,-121.65803,5.6
112048,"Steinway, Campbell",37.267403,-121.96955,5.4
112134,Prospect,37.215195,-121.98083,5.8
112164,Grandview Ave,37.236237,-121.98981,4.7
112812,208 bella vista ave,37.22424,-121.9717,5.4
112982,ViaVespero,37.163254,-121.820496,0.9
113172,TAL1,37.223145,-121.86786,0.3
113220,Spanish Ranch,37.10412,-121.89996,3.3
113262,Brighton Oaks,37.131763,-121.65149,0.4
113622,22546 Summit,37.142136,-121.97597,0.0
