sensor_index,name,latitude,longitude,pm2.5_atm,dist
120313,1943 Redwood Dr,37.003704,-121.90143,0.0,0.22917347428530807
120355,TurulKeble,37.040337,-122.02553,0.0,0.33458084354756235
120831,Carina,36.562366,-121.81591,0.0,0.24360371355133653
120931,Paradise Park,37.00219,-122.038124,0.0,0.3186422995711553
120967,Lower Valencia Rd,36.97983,-121.891335,0.0,0.20344998433275374
121663,Kalkar Quarry,36.98214,-122.048676,0.0,0.3152573059835358
124645,SYM1122P,36.92189,-121.75982,1.7,0.12089255767002074
127271,Pleasure Point,36.961956,-121.96836,0.0,0.23926031166074943
131819,Upper Dry Creek Rd,36.59029,-121.91659,0.2,0.24960251641359163
134408,High Meadows,36.565357,-121.905685,0.0,0.26630958314338
134888,Eighth St,36.660965,-121.80852,0.8,0.14485319335451624
135134,Fieldcrest,36.603237,-121.64552,1.5,0.24668336175956615
141830,Winzer Place,36.994026,-121.59421,0.0,0.27134654590762697
150824,Burl Road,37.032932,-122.00651,0.4,0.3159786054846122
156279,Juniper Court,36.695824,-121.80144,0.0,0.10936821922295191
157139,SCWS,37.005974,-122.07281,0.8,0.34868039459654
159603,Day Valley,37.000256,-121.84941,1.7,0.20516823544593735
163039,ucm-431d,36.604824,-121.9192,9.5,0.23867423358209272
163041,ucm-f94b,36.67722,-121.62704,4.4,0.20537658094340952
163049,ucm-65cc,36.577785,-121.7175,2.8,0.23741735030322003
163069,ucm-8b62,36.71268,-121.61996,2.8,0.19170527900921408
163085,ucm-653B,36.72671,-121.65586,4.5,0.15354507383827493
163149,ucm-C045,36.67938,-121.62715,4.3,0.20395912065902289
163201,ucm-8ba3,36.650852,-121.79771,0.6,0.15383606990559787
171975,VVDDC,36.588055,-121.905106,4.6,0.24586337803951405
192833,Chicken coop,36.976254,-122.048035,1.0,0.3114419168015034
193527,Gateway School (new),36.953396,-122.04876,3.4,0.300065358907016
193987,Shepherds Knoll Road Bldg 2,36.581867,-121.91297,3.4,0.2550755672129301
195861,Santa Cruz California St,36.966747,-122.034424,1.9,0.29484499620138777
196279,Chartwell School,36.63665,-121.80296,3.8,0.1683893645691411
196427,Outside the pain cave,36.973625,-122.035675,2.0,0.2997190205008595
196445,ConcordCourtMarina,36.67211,-121.79088,4.2,0.13231515597239543
198223,Walnut + King,36.973297,-122.03977,2.6,0.3029246729947879
198861,Spruce St,36.9795,-121.91929,3.3,0.2186741642261367
204729,Ruthies,36.925156,-121.77223,2.2,0.12182059118228104
224985,500 Westridge,36.91058,-121.78283,1.6,0.10632080370275819
231181,4575 Paul Sweet,37.018036,-121.98132,0.6,0.28791849696745186
233659,Crocker,36.628696,-121.933205,8.3,0.22774844596835225
237281,13th Street Central,36.62062,-121.91505,5.1,0.2232501979842263
238567,CCA1,36.76182,-121.74768,3.0,0.05884760657835129
238577,ACC2B,36.76936,-121.75101,4.0,0.05116977330417946
238583,Holand,36.93943,-121.76765,2.8,0.13659986603214608
238585,CCA10,36.680626,-121.626656,4.9,0.20358974878908867
238609,CCA8,36.76238,-121.7468,4.3,0.05905870299965267
238631,Aguilar Home,36.92286,-121.769875,0.4,0.11988432852128765
249427,Gold Gulch Rd,37.031773,-122.094,1.6,0.3809868385246298
257689,St Andrews Dr,36.964336,-121.88147,2.4,0.18509503774007036
258525,Banana belt,36.987244,-122.01285,0.9,0.28957664069464506
