sensor_index,name,latitude,longitude,episode_number,onset_time_utc,peak_time_utc,end_time_utc,duration_hours,hours_flagged,peak_pm25_atm,mean_pm25_atm,event_integrated_excess,baseline_median,robust_mad,event_threshold,baseline_source,event_rank,is_primary_event,hours_after_fire_start
20607,Spencer Ct,36.982265,-121.98709,1,2025-01-17 16:00:00+00:00,2025-01-17 17:00:00+00:00,2025-01-17 19:00:00+00:00,4.0,4,26.4,23.35,73.8,4.9,2.5204199999999988,20.0,pre_fire_window,1,True,15.416666666666666
20607,Spencer Ct,36.982265,-121.98709,2,2025-01-18 00:00:00+00:00,2025-01-18 01:00:00+00:00,2025-01-18 15:00:00+00:00,16.0,16,31.3,24.81875,318.7,4.9,2.5204199999999988,20.0,pre_fire_window,2,False,23.416666666666668
20607,Spencer Ct,36.982265,-121.98709,3,2025-01-19 11:00:00+00:00,2025-01-19 12:00:00+00:00,2025-01-19 14:00:00+00:00,4.0,4,32.8,24.624999999999996,78.9,4.9,2.5204199999999988,20.0,pre_fire_window,3,False,58.416666666666664
20607,Spencer Ct,36.982265,-121.98709,4,2025-01-19 18:00:00+00:00,2025-01-19 18:00:00+00:00,2025-01-19 19:00:00+00:00,2.0,2,21.6,21.4,33.0,4.9,2.5204199999999988,20.0,pre_fire_window,4,False,64.41666666666667
20607,Spencer Ct,36.982265,-121.98709,5,2025-01-20 02:00:00+00:00,2025-01-20 05:00:00+00:00,2025-01-20 13:00:00+00:00,12.0,11,32.8,24.1,211.2,4.9,2.5204199999999988,20.0,pre_fire_window,5,False,75.41666666666667
20607,Spencer Ct,36.982265,-121.98709,6,2025-01-20 16:00:00+00:00,2025-01-20 17:00:00+00:00,2025-01-20 18:00:00+00:00,3.0,3,22.0,21.333333333333332,49.300000000000004,4.9,2.5204199999999988,20.0,pre_fire_window,6,False,87.41666666666667
20607,Spencer Ct,36.982265,-121.98709,7,2025-01-21 02:00:00+00:00,2025-01-21 02:00:00+00:00,2025-01-21 02:00:00+00:00,1.0,1,20.0,20.0,15.1,4.9,2.5204199999999988,20.0,pre_fire_window,7,False,96.41666666666667
20607,Spencer Ct,36.982265,-121.98709,8,2025-01-22 03:00:00+00:00,2025-01-22 03:00:00+00:00,2025-01-22 03:00:00+00:00,1.0,1,34.1,34.1,29.200000000000003,4.9,2.5204199999999988,20.0,pre_fire_window,8,False,121.41666666666667
20607,Spencer Ct,36.982265,-121.98709,9,2025-01-22 06:00:00+00:00,2025-01-22 06:00:00+00:00,2025-01-22 06:00:00+00:00,1.0,1,24.9,24.9,20.0,4.9,2.5204199999999988,20.0,pre_fire_window,9,False,124.41666666666667
20607,Spencer Ct,36.982265,-121.98709,10,2025-01-24 01:00:00+00:00,2025-01-24 01:00:00+00:00,2025-01-24 01:00:00+00:00,1.0,1,20.0,20.0,15.1,4.9,2.5204199999999988,20.0,pre_fire_window,10,False,167.41666666666666
21887,Fish,36.967377,-122.043,1,2025-01-17 05:00:00+00:00,2025-01-17 05:00:00+00:00,2025-01-17 05:00:00+00:00,1.0,1,30.2,30.2,22.15,8.05,5.040839999999999,23.17252,pre_fire_window,1,True,3.4166666666666665
21887,Fish,36.967377,-122.043,2,2025-01-17 18:00:00+00:00,2025-01-17 18:00:00+00:00,2025-01-17 20:00:00+00:00,3.0,3,28.6,27.5,58.349999999999994,8.05,5.040839999999999,23.17252,pre_fire_window,2,False,16.416666666666668
21887,Fish,36.967377,-122.043,3,2025-01-18 02:00:00+00:00,2025-01-18 03:00:00+00:00,2025-01-18 09:00:00+00:00,8.0,8,30.2,26.6875,149.1,8.05,5.040839999999999,23.17252,pre_fire_window,3,False,25.416666666666668
21887,Fish,36.967377,-122.043,4,2025-01-19 03:00:00+00:00,2025-01-19 14:00:00+00:00,2025-01-19 15:00:00+00:00,13.0,12,28.6,26.166666666666668,217.40000000000003,8.05,5.040839999999999,23.17252,pre_fire_window,4,False,60.416666666666664
21887,Fish,36.967377,-122.043,5,2025-01-20 03:00:00+00:00,2025-01-20 04:00:00+00:00,2025-01-20 04:00:00+00:00,2.0,2,33.6,32.85,49.6,8.05,5.040839999999999,23.17252,pre_fire_window,5,False,74.41666666666667
21887,Fish,36.967377,-122.043,6,2025-01-20 16:00:00+00:00,2025-01-20 18:00:00+00:00,2025-01-20 18:00:00+00:00,3.0,3,30.1,27.733333333333334,59.05,8.05,5.040839999999999,23.17252,pre_fire_window,6,False,88.41666666666667
21887,Fish,36.967377,-122.043,7,2025-01-21 03:00:00+00:00,2025-01-21 03:00:00+00:00,2025-01-21 03:00:00+00:00,1.0,1,27.2,27.2,19.15,8.05,5.040839999999999,23.17252,pre_fire_window,7,False,97.41666666666667
21887,Fish,36.967377,-122.043,8,2025-01-22 04:00:00+00:00,2025-01-22 05:00:00+00:00,2025-01-22 06:00:00+00:00,3.0,3,27.9,25.666666666666668,52.849999999999994,8.05,5.040839999999999,23.17252,pre_fire_window,8,False,123.41666666666667
21887,Fish,36.967377,-122.043,9,2025-01-23 03:00:00+00:00,2025-01-23 03:00:00+00:00,2025-01-23 04:00:00+00:00,2.0,2,28.0,27.5,38.9,8.05,5.040839999999999,23.17252,pre_fire_window,9,False,145.41666666666666
23095,Luigi Aprea outside,37.026367,-121.60415,1,2025-01-17 04:00:00+00:00,2025-01-17 04:00:00+00:00,2025-01-17 04:00:00+00:00,1.0,1,20.7,20.7,15.149999999999999,5.55,3.7806299999999995,20.0,pre_fire_window,1,True,2.4166666666666665
