window_index,window_start_utc,window_stop_utc,window_start_local,window_stop_local,sensor_index,name,latitude,longitude,baseline_pm25,baseline_ok,n_hours,pm25_mean,pm25_max,enhancement_mean,enhancement_pos_mean,enhancement_pos_max,humidity_mean,window_label_utc,window_label_local
-18,2025-01-13 23:00:00+00:00,2025-01-14 03:00:00+00:00,2025-01-13 15:00:00-08:00,2025-01-13 19:00:00-08:00,39489,IRR-IRW,37.25159,-122.12254,0.45,True,3,0.3333333333333333,0.6,-0.1166666666666667,0.04999999999999997,0.1499999999999999,39.666666666666664,2025-01-13 23:00 to 03:00 UTC,Jan 13 03:00 PM to 07:00 PM PT
-18,2025-01-13 23:00:00+00:00,2025-01-14 03:00:00+00:00,2025-01-13 15:00:00-08:00,2025-01-13 19:00:00-08:00,42967,Bonny Doon,37.048027,-122.16178,4.699999999999999,True,3,7.0,10.8,2.3000000000000007,3.0000000000000004,6.100000000000001,33.666666666666664,2025-01-13 23:00 to 03:00 UTC,Jan 13 03:00 PM to 07:00 PM PT
-18,2025-01-13 23:00:00+00:00,2025-01-14 03:00:00+00:00,2025-01-13 15:00:00-08:00,2025-01-13 19:00:00-08:00,46465,Lompico Park,37.104336,-122.050674,11.0,True,3,19.633333333333333,28.9,8.633333333333333,8.633333333333333,17.9,77.66666666666667,2025-01-13 23:00 to 03:00 UTC,Jan 13 03:00 PM to 07:00 PM PT
-18,2025-01-13 23:00:00+00:00,2025-01-14 03:00:00+00:00,2025-01-13 15:00:00-08:00,2025-01-13 19:00:00-08:00,53503,Elk Run,36.58021,-121.86322,1.7000000000000002,True,3,5.3,5.9,3.6,3.6,4.2,39.0,2025-01-13 23:00 to 03:00 UTC,Jan 13 03:00 PM to 07:00 PM PT
-18,2025-01-13 23:00:00+00:00,2025-01-14 03:00:00+00:00,2025-01-13 15:00:00-08:00,2025-01-13 19:00:00-08:00,53877,PA-2 Colleen,36.990856,-121.93677,2.25,True,3,6.166666666666667,9.0,3.9166666666666665,3.9166666666666665,6.75,45.0,2025-01-13 23:00 to 03:00 UTC,Jan 13 03:00 PM to 07:00 PM PT
-18,2025-01-13 23:00:00+00:00,2025-01-14 03:00:00+00:00,2025-01-13 15:00:00-08:00,2025-01-13 19:00:00-08:00,54745,Granite Ridge,37.060158,-121.99086,1.15,True,3,3.233333333333334,5.5,2.0833333333333335,2.0833333333333335,4.35,28.0,2025-01-13 23:00 to 03:00 UTC,Jan 13 03:00 PM to 07:00 PM PT
-18,2025-01-13 23:00:00+00:00,2025-01-14 03:00:00+00:00,2025-01-13 15:00:00-08:00,2025-01-13 19:00:00-08:00,55171,Timber Ridge,37.07026,-121.98965,4.85,True,3,6.766666666666667,11.0,1.916666666666667,2.766666666666667,6.15,37.0,2025-01-13 23:00 to 03:00 UTC,Jan 13 03:00 PM to 07:00 PM PT
-18,2025-01-13 23:00:00+00:00,2025-01-14 03:00:00+00:00,2025-01-13 15:00:00-08:00,2025-01-13 19:00:00-08:00,55699,Viewpoint,36.98682,-121.91102,2.8,True,3,7.6000000000000005,8.7,4.800000000000001,4.800000000000001,5.9,27.333333333333332,2025-01-13 23:00 to 03:00 UTC,Jan 13 03:00 PM to 07:00 PM PT
-18,2025-01-13 23:00:00+00:00,2025-01-14 03:00:00+00:00,2025-01-13 15:00:00-08:00,2025-01-13 19:00:00-08:00,56033,Monterey,36.577515,-121.85851,1.65,True,3,5.633333333333333,6.6,3.983333333333333,3.983333333333333,4.949999999999999,34.333333333333336,2025-01-13 23:00 to 03:00 UTC,Jan 13 03:00 PM to 07:00 PM PT
-18,2025-01-13 23:00:00+00:00,2025-01-14 03:00:00+00:00,2025-01-13 15:00:00-08:00,2025-01-13 19:00:00-08:00,60165,K&amp;S Lockwood,35.923088,-121.07588,4.6,True,3,21.133333333333333,42.5,16.53333333333333,16.53333333333333,37.9,20.0,2025-01-13 23:00 to 03:00 UTC,Jan 13 03:00 PM to 07:00 PM PT
-18,2025-01-13 23:00:00+00:00,2025-01-14 03:00:00+00:00,2025-01-13 15:00:00-08:00,2025-01-13 19:00:00-08:00,60283,Front Porch,36.88689,-121.58291,4.5,True,3,2.1333333333333333,3.0,-2.3666666666666667,0.0,0.0,28.0,2025-01-13 23:00 to 03:00 UTC,Jan 13 03:00 PM to 07:00 PM PT
-18,2025-01-13 23:00:00+00:00,2025-01-14 03:00:00+00:00,2025-01-13 15:00:00-08:00,2025-01-13 19:00:00-08:00,60313,Timber Ridge Lane,37.06883,-121.98734,1.9,True,3,3.0,6.0,1.0999999999999999,1.3666666666666665,4.1,28.666666666666668,2025-01-13 23:00 to 03:00 UTC,Jan 13 03:00 PM to 07:00 PM PT
-18,2025-01-13 23:00:00+00:00,2025-01-14 03:00:00+00:00,2025-01-13 15:00:00-08:00,2025-01-13 19:00:00-08:00,60549,alta,36.954903,-122.0388,8.149999999999999,True,3,8.6,10.8,0.4500000000000017,0.8833333333333341,2.650000000000002,36.333333333333336,2025-01-13 23:00 to 03:00 UTC,Jan 13 03:00 PM to 07:00 PM PT
-18,2025-01-13 23:00:00+00:00,2025-01-14 03:00:00+00:00,2025-01-13 15:00:00-08:00,2025-01-13 19:00:00-08:00,60829,QUIEN SABE,37.04412,-122.02001,9.05,True,3,6.666666666666667,7.0,-2.383333333333334,0.0,0.0,35.0,2025-01-13 23:00 to 03:00 UTC,Jan 13 03:00 PM to 07:00 PM PT
-18,2025-01-13 23:00:00+00:00,2025-01-14 03:00:00+00:00,2025-01-13 15:00:00-08:00,2025-01-13 19:00:00-08:00,60843,eyeCatchLight Photography,36.969906,-122.048134,4.5,True,3,6.1000000000000005,8.3,1.6000000000000003,2.1,3.8000000000000007,31.666666666666668,2025-01-13 23:00 to 03:00 UTC,Jan 13 03:00 PM to 07:00 PM PT
-18,2025-01-13 23:00:00+00:00,2025-01-14 03:00:00+00:00,2025-01-13 15:00:00-08:00,2025-01-13 19:00:00-08:00,62207,15th Avenue,36.96255,-121.99147,3.5,True,3,4.966666666666667,6.1,1.4666666666666668,1.4666666666666668,2.6,40.333333333333336,2025-01-13 23:00 to 03:00 UTC,Jan 13 03:00 PM to 07:00 PM PT
-18,2025-01-13 23:00:00+00:00,2025-01-14 03:00:00+00:00,2025-01-13 15:00:00-08:00,2025-01-13 19:00:00-08:00,63111,Marley,37.001842,-122.01962,4.35,True,3,6.466666666666666,7.8,2.1166666666666667,2.1166666666666667,3.45,34.666666666666664,2025-01-13 23:00 to 03:00 UTC,Jan 13 03:00 PM to 07:00 PM PT
-18,2025-01-13 23:00:00+00:00,2025-01-14 03:00:00+00:00,2025-01-13 15:00:00-08:00,2025-01-13 19:00:00-08:00,63115,Camino Real,36.558426,-121.927345,2.4,True,3,10.533333333333333,17.6,8.133333333333333,8.133333333333333,15.2,38.0,2025-01-13 23:00 to 03:00 UTC,Jan 13 03:00 PM to 07:00 PM PT
-18,2025-01-13 23:00:00+00:00,2025-01-14 03:00:00+00:00,2025-01-13 15:00:00-08:00,2025-01-13 19:00:00-08:00,63213,Canon Del Sol - La Selva Beach,36.92184,-121.85166,2.4,True,3,1.8,1.9,-0.6,0.0,0.0,20.0,2025-01-13 23:00 to 03:00 UTC,Jan 13 03:00 PM to 07:00 PM PT
