sensor_index,count,min,median,max,mean,std,gt250_frac,gt500_frac,gt1000_frac,name,latitude,longitude,remove_reason
73683,264,0.8,8.850000000000001,35.8,10.213636363636365,6.533677281427063,0.0,0.0,0.0,Harper Court,36.97484,-121.989395,
74183,264,0.0,0.9,47.0,1.9928030303030304,3.6427104800771333,0.0,0.0,0.0,Shear Creek,37.202442,-122.06677,
74529,264,0.3,2.6,20.0,4.142045454545454,3.9182148955242075,0.0,0.0,0.0,Edgefield Drive,36.56183,-121.90849,
74825,264,0.9,8.25,36.4,10.947727272727272,7.245042525955494,0.0,0.0,0.0,Nobel Gulch Park,36.97698,-121.95003,
75019,264,0.5,7.1,42.5,11.146590909090909,10.532801730227435,0.0,0.0,0.0,The Cosmic Center,36.816586,-121.73004,
75153,264,0.4,6.35,38.4,9.184469696969696,7.859847986068001,0.0,0.0,0.0,Spyglass #16,36.586884,-121.94758,
75753,264,0.7,6.1,41.3,9.989772727272728,8.854554022894003,0.0,0.0,0.0,"Corallitos, CA",36.978012,-121.82062,
76373,264,0.5,6.9,30.9,9.653409090909092,7.017375754396804,0.0,0.0,0.0,OnTheCliff,36.962433,-122.05608,
76499,264,0.1,5.5,59.2,7.243181818181818,7.211336588238665,0.0,0.0,0.0,Harper,36.568073,-121.70494,
77051,264,0.1,16.65,110.6,16.421212121212122,11.822476693957494,0.0,0.0,0.0,Navigator Drive,37.05044,-122.03397,
77451,264,0.9,22.0,110.6,23.636363636363637,14.665029263677864,0.0,0.0,0.0,Big Foot Hill,37.038143,-122.07705,
77841,264,0.1,5.1,26.3,8.916287878787879,7.572955674678876,0.0,0.0,0.0,MVRR,36.97136,-121.86338,
78287,264,0.3,3.3,31.7,5.978787878787879,6.7628770881900975,0.0,0.0,0.0,Big Redwood Park,37.114243,-121.98243,
78433,264,0.0,2.9,26.7,5.412878787878788,5.963213022506546,0.0,0.0,0.0,Pippin,37.04834,-121.96994,
78919,264,0.0,0.1,2.5,0.15113636363636362,0.21783290672119515,0.0,0.0,0.0,19yoZemite,36.617065,-121.828094,
80409,264,0.6,7.7,22.0,8.111742424242424,4.525732761493933,0.0,0.0,0.0,Live Oak Santa Cruz,36.97257,-121.990425,
80813,264,1.2,9.7,36.8,12.252272727272727,7.86056689592659,0.0,0.0,0.0,Hickman Ct.,36.959995,-121.97731,
81047,264,0.6,7.85,35.5,10.631818181818183,7.742405263688842,0.0,0.0,0.0,Dover and Howe Outdoor,36.99021,-121.972244,
81075,264,0.2,5.15,37.3,5.708712121212121,5.085336394360447,0.0,0.0,0.0,Wente Greenfield Office,36.279583,-121.30499,
81387,264,0.2,25.45,1742.9,433.7568181818182,703.3530039505507,0.2689393939393939,0.26515151515151514,0.23863636363636365,Bad Dog Farms,36.52744,-121.84132,repeated_extreme_spikes
81843,264,0.2,5.6,26.8,7.212121212121212,6.051999390617538,0.0,0.0,0.0,Miss Eddie’s House,36.543636,-121.92493,
82067,264,1.6,15.9,40.9,17.259090909090908,9.52794931671124,0.0,0.0,0.0,Los Altos Drive,36.966465,-121.88861,
82447,189,1.0,16.9,45.3,18.104761904761904,10.730887441808054,0.0,0.0,0.0,Via Ventana,36.90906,-121.77564,
82459,264,0.0,2.8499999999999996,28.3,5.231818181818182,6.142383062415407,0.0,0.0,0.0,Summit Rd.,37.035297,-121.74771,
